codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario
1,Meu Feed,N/A,"C3
@C_3C_3
·
14h
Now we know why they didn’t want to release the entire video.

Decarlos Brown can be heard saying:

“I got that white girl.”

After he murdered the innocent Iryna Zarutska

Dems and Media didn’t want Americans to see the racial aspect.

Think about that.
From 
American AF
1.7K
23K
88K
2.7M"
2,Meu Feed,N/A,"pedro
@drweilish
·
16h
Fan account
spotify debut albums 

SWAG II - 34.65M (13 horas de contagem)

—— ME AJUDA JUSTIN ——

i said i love you first - 14.2M (24 horas de contagem)
From 
Elo
21
59
642
26K"
3,Meu Feed,N/A,"KATSEYE News
@NewsKatseye
·
10h
I’m obsessed.
84
6.4K
48K
481K"
4,Meu Feed,N/A,"Secretary of War Pete Hegseth
@SecWar
·
16h
A message to our warfighters from the Secretary of War.
2.2K
9.3K
40K
988K"
5,Meu Feed,N/A,"Dapper Detective
@Dapper_Det
·
11h
BREAKING: The sexual predator arrested for first-degree attempted kidnapping of a barista that was caught on video just outside of Seattle has been released from jail on cashless bail.

This is precisely why women in America are being raped and murdered by repeat offenders.
0:41
1.3K
14K
62K
4.5M"
6,Meu Feed,N/A,"Secretary Marco Rubio
@SecRubio
·
21h
Cyber scam centers in Southeast Asia stole over $10 billion from Americans last year. In response, today 
@USTreasury
 sanctioned individuals and entities linked to cyber scam centers in Burma and forced labor operations in Cambodia. Our actions will disrupt their cruel
Show more
1.7K
6.7K
33K
1.3M"
7,Meu Feed,N/A,"수호룩봇
@SUHOLOOK
·
9h
SUHO 수호 The 4th Mini Album 【Who Are You】
➫ 2025.09.22 6PM (KST)

Pre-order
suho.lnk.to/WhoAreYou

#WhoAreYou #SUHO_WhoAreYou
#SUHO #수호
7
2.7K
6.6K
55K"
8,Meu Feed,N/A,"Supermicro
@Supermicro_SMCI
Ad
Applied Digital is transforming AI infrastructure with Supermicro’s energy-efficient servers, accelerated by NVIDIA.

Watch how scalable, high-performance data centers are built for tomorrow’s AI workloads.
From supermicro.com
49
203
1.5K
7.3M"
9,Meu Feed,N/A,"nmixx pics
@nmixxpics_
·
9h
Fan account
JYP Entertainment will be featured in a special episode of “Game Caterers” (출장 십오야), directed by Na Young-seok. The lineup mentioned includes NMIXX, DAY6, TWICE, Stray Kids, Xdinary Heroes, and Kickflip.
naver.me/5V84gEju
5
606
2K
73K"
10,Meu Feed,N/A,"LⱯDY GⱯGⱯ NOW
@ladygaganownet
·
9h
Lady Gaga is performing ""Vanish Into You"" on The Late Show with Stephen Colbert.
35
296
3.2K
108K"
11,Meu Feed,N/A,"LⱯDY GⱯGⱯ NOW
@ladygaganownet
·
9h
Lady Gaga during her performance of ""Vanish Into You"" on The Late Show with Stephen Colbert.
14
343
2.8K
42K"
